Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,CH1,446.00625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
2,CH2,446.01875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
3,CH3,446.03125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
4,CH4,446.04375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
5,CH5,446.05625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
6,CH6,446.06875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
7,CH7,446.08125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
8,CH8,446.09375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
9,CH9,446.10625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
10,CH10,446.11875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
11,CH11,446.13125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
12,CH12,446.14375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
13,CH13,446.15625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
14,CH14,446.16875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
15,CH15,446.18125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
16,CH16,446.19375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
